[2025-08-01 15:14:15] absolute axis event at 1754050455.454947, ABS_GAS
[2025-08-01 15:14:17] absolute axis event at 1754050457.434113, ABS_GAS
[2025-08-01 15:14:17] absolute axis event at 1754050457.464253, ABS_GAS
[2025-08-05 15:27:39] absolute axis event at 1754396859.899948, ABS_GAS 
[2025-08-05 15:27:39] absolute axis event at 1754396859.929804, ABS_GAS 
[2025-08-05 15:27:42] absolute axis event at 1754396862.059066, ABS_GAS 
[2025-08-05 15:27:42] absolute axis event at 1754396862.089091, ABS_GAS 
[2025-08-05 15:27:43] absolute axis event at 1754396863.889186, ABS_GAS 
[2025-08-05 15:27:43] absolute axis event at 1754396863.919331, ABS_GAS 
[2025-08-05 15:27:44] absolute axis event at 1754396864.353647, ABS_GAS 
[2025-08-05 15:27:44] absolute axis event at 1754396864.383814, ABS_GAS 
[2025-08-05 15:27:44] absolute axis event at 1754396864.818222, ABS_GAS 
[2025-08-05 15:27:45] absolute axis event at 1754396865.193160, ABS_GAS 
[2025-08-05 15:27:45] absolute axis event at 1754396865.223515, ABS_GAS 
[2025-08-05 15:27:45] absolute axis event at 1754396865.733136, ABS_GAS 
[2025-08-05 15:27:46] absolute axis event at 1754396866.063019, ABS_GAS 
[2025-08-05 15:27:46] absolute axis event at 1754396866.093353, ABS_GAS 
[2025-08-05 15:27:47] absolute axis event at 1754396867.263323, ABS_Z 
[2025-08-05 15:27:47] absolute axis event at 1754396867.293181, ABS_Z 
[2025-08-05 15:27:47] absolute axis event at 1754396867.322998, ABS_Z 
[2025-08-05 15:27:47] absolute axis event at 1754396867.353001, ABS_Z 
[2025-08-05 15:27:47] absolute axis event at 1754396867.382888, ABS_Z 
[2025-08-05 15:27:47] absolute axis event at 1754396867.413253, ABS_Z 
[2025-08-05 15:27:47] absolute axis event at 1754396867.413253, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.443153, ABS_Z 
[2025-08-05 15:27:47] absolute axis event at 1754396867.443153, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.473077, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.503040, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.533190, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.562926, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.593066, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.623365, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.652884, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.682987, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.713428, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.742978, ABS_Z 
[2025-08-05 15:27:47] absolute axis event at 1754396867.742978, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.772915, ABS_Z 
[2025-08-05 15:27:47] absolute axis event at 1754396867.772915, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.802914, ABS_Z 
[2025-08-05 15:27:47] absolute axis event at 1754396867.802914, ABS_RZ 
[2025-08-05 15:27:47] absolute axis event at 1754396867.832917, ABS_Z 
