[2025-08-01 14:05:05] absolute axis event at 1754046305.877456, ABS_Y
[2025-08-01 14:05:05] absolute axis event at 1754046305.907203, ABS_Y
[2025-08-01 14:05:05] absolute axis event at 1754046305.937143, ABS_Y
[2025-08-01 14:05:05] absolute axis event at 1754046305.967197, ABS_Y
[2025-08-01 14:05:05] absolute axis event at 1754046305.997520, ABS_X
[2025-08-01 14:05:05] absolute axis event at 1754046305.997520, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.027437, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.027437, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.057242, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.057242, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.087148, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.117146, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.147778, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.177393, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.207163, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.237178, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.297760, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.327405, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.327405, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.357134, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.357134, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.387028, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.387028, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.417080, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.417080, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.447513, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.447513, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.478083, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.478083, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.507165, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.507165, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.537170, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.537170, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.567075, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.567075, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.597802, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.597802, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.627426, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.627426, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.687146, ABS_X
[2025-08-01 14:05:06] absolute axis event at 1754046306.687146, ABS_Y
[2025-08-01 14:05:06] absolute axis event at 1754046306.747780, ABS_X
[2025-08-01 14:05:07] absolute axis event at 1754046307.617138, ABS_Y
[2025-08-01 14:05:07] absolute axis event at 1754046307.647899, ABS_Y
[2025-08-01 14:05:07] absolute axis event at 1754046307.677438, ABS_Y
[2025-08-01 14:05:07] absolute axis event at 1754046307.707211, ABS_X
[2025-08-01 14:05:07] absolute axis event at 1754046307.707211, ABS_Y
[2025-08-01 14:05:07] absolute axis event at 1754046307.737163, ABS_Y
[2025-08-01 14:05:07] absolute axis event at 1754046307.767094, ABS_X
[2025-08-01 14:05:07] absolute axis event at 1754046307.767094, ABS_Y
[2025-08-01 14:05:07] absolute axis event at 1754046307.797917, ABS_X
[2025-08-01 14:05:07] absolute axis event at 1754046307.797917, ABS_Y
[2025-08-01 14:05:07] absolute axis event at 1754046307.827462, ABS_X
[2025-08-01 14:05:07] absolute axis event at 1754046307.827462, ABS_Y
[2025-08-01 14:05:07] absolute axis event at 1754046307.857244, ABS_X
[2025-08-01 14:05:07] absolute axis event at 1754046307.857244, ABS_Y
[2025-08-01 14:05:07] absolute axis event at 1754046307.887213, ABS_X
[2025-08-01 14:05:07] absolute axis event at 1754046307.887213, ABS_Y
